,Recipe_Name,Type,Serving,Protein,Fat,Carbs,Calories,cholesterol,sodium,fiber,sugar,Prepare time,cooking time,Total_Time,Ratings
0,Carrot Banana Protein Smoothie,breakfast,1,28.5,6.5,34,294,,290.5,7,17.5,5,0,5 mins,4.84
1,Grapefruit-Ginger Kombucha Mocktail,,1,0.5,0.5,15,66,,1.5,0.5,12.5,,,,5
2,Peanut Butter and Jelly Smoothie,lunch,1,6,11,29,222,,216,8,19,5,0,5 mins,5
3,Orange Moscow Mule Mocktail,,1,1,,27,104,,,3,20.5,5,0,5 mins,5
4,Zero-Proof Jalapeño Paloma,,1,0.5,,17,66,16,1,,14,5,0,5 mins,5
5,Virgin Bloody Mary,appetizer,2,1,0.5,7,33,,295,1.5,4.5,10,0,10 mins,4.91
6,Citrus Immunity Shots,,1,0.5,,6,25,,0.5,1,4,10,0,10 mins,4.67
7,Boozy Watermelon Lime Granita,dessert,1,0.5,0.5,,109,,2,0.5,11.5,,0,3 hrs,5
8,Tropical Mango Blueberry Lassi,Breakfast,1,8,6,34.5,215,2.5,221,5,24.5,5,0,5 mins,4.60
9,Green Apple Lemon Cucumber Ginger Smoothie,Breakfast,1,2,0.5,30.5,110,,20,6.5,18,10,,10 mins,4.29
10,Basil Cucumber Gin Cooler,,1,,,7,137,,7,,5,10,0,10 mins,5
11,Summer Mango Stone Fruit Smoothie,Breakfast,1,2,0.5,35,122,,20,4,24,20,,20 mins,
12,Chia Watermelon Fresca,,1,5,6,22,6,,5,6,15,5,,5 mins,5
13,Pina Banana Colada Smoothie,breakfast,1,2,6,27,160,,95,4,18,5,,5 mins,4.75
14,Bali Banana Date Smoothie,Breakfast,1,5,1,39,195,6,136,3,31,1,4,5 mins,4.75
15,Superfood PB Banana and Cacao Green Smoothie,breakfast,1,6,11.5,21,188,,210,6.5,8.5,5,,5 mins,4.34
16,Roasted Strawberry Protein Smoothie,cottage cheese,1,16,3.4,33,213,5.5,360,7.5,27,3,12,15 mins,4.63
17,"Kale, Banana, Chia, Hemp Superfood Smoothie",breakfast,1,8,10,30,220,,158,8,14,5,,5 mins,4.75
18,Blueberry Kale Smoothie,Breakfast,1,9,12,51,312,,241,10,31,5,,5 mins,
19,Blueberry Banana Oatmeal Smoothie,breakfast,1,3,2,38,180,,52.5,4,8,5,,5 mins,4
20,Watermelon Agua Fresca,lunch,1,1.5,1,16.5,73,,4.5,1,15,10,,10 mins,5
21,Matcha Green Tea Shots,,2,1,2,10,55,,76,1,9,5,,5 mins,5
22,Peach Banana Green Smoothie with Hemp Seeds,breakfast,16,7,8,31,205,,170,6,20,,,,4.34
23,Mango Banana Hemp Seed Green Smoothie,Breakfast,16,5,6,27,173.5,,171,4.5,15.5,10,,10 mins,
24,Tropical Papaya Batido Fruit Shake,breakfast,,3,1,49,205,,6,4,35.5,10,,10 mins,
25,Shamrock Shake,dessert,1,7,6,23,169.5,2,90.5,2.5,19,10,0,10 mins,5
26,Blueberry Banana PB Smoothie,Breakfast,1,13,4,48.5,261,,212.4,8,26.5,5,,5 mins,4.89
27,Skinny Frozen Hot Chocolate,Dessert,,7,1,20,111,3,166,1,18,10,,10 mins,
28,Iced Green Tea Mojito,,1,0.5,0.5,11,110,,4,0.5,9,10,,10 mins,
29,Very Berry Banana Fro Yo Shake,dessert,1,5.6,2.1,48,211.7,,90.6,5.7,26.3,5,,5 mins,
30,Citrus Margarita Spritzer,,1,0.5,0.5,12,137,,13.5,0.5,9,5,,5 mins,5
31,Celery Cilantro Cocktail,,1,0.2,,19.9,135,,15.8,1.2,15.8,10,,10 mins,
32,Skinny Green Tropical Smoothie,Breakfast,1,10.2,7.7,30.2,228,,70.5,3.9,19.4,5,,5 mins,4.50
33,Watermelon Martini,,6,1,0.5,11.5,90.5,,2.5,0.5,7.5,15,,15 mins,
34,Colombian Salpicón,dessert,1,0.5,0.5,14,52,,10,2,7,15,0,15 mins,5
35,Freshly Brewed Ice Tea with Fresh Mint,,1,,,0.8,3,,0.1,,0.2,,,,3
36,Horchata,Breakfast,1,3,0.5,31.5,138,1,30.5,1.5,2.5,10,0,8 hrs 10 mins,5
37,Healthy Pumpkin Oatmeal Smoothie,breakfast,1,3.8,0.9,21.5,95,1.3,30,2.6,11,10,5,15 mins,5
38,Pumpkin Smoothie,breakfast,1,10.6,0.5,40,185.5,1.2,66.8,2.6,10.2,5,0,5 mins,4.67
39,Skinny Pumpkin Spice Latte,breakfast,1,6.6,0.4,20.8,115.6,3.7,100,0.7,4.7,10,5,15 mins,5
40,Nojito (Virgin Mojito Mocktail),,1,0.5,0.1,15.2,58.5,,,0.9,,,,,
41,Skinny Margarita,,1,0.2,,3.3,185.5,,1,0.2,1,5,,5 mins,
42,Mango Peach Smoothie,Breakfast,1,2.3,0.3,26,99.7,,,5,,,,,5
43,Triple Berry Smoothie,breakfast,1,9.4,0.3,9.7,75.9,,40.3,2.7,6,,,,
44,Very Blueberry Smoothie,Breakfast,1,3.4,,16.2,80.5,,,3,,,,,
45,Pomegranate Martini,,4,0.4,,13.1,117,,11.5,,13,3,,3 mins,
46,Skinny Eggnog Latte,,,,,,73,,,,,,,,
47,Skinny Eggnog,,1,5.3,2.5,15.3,106.7,,,,,,,,4.50
48,Mango Lassi,Breakfast,1,9.2,0.3,26.7,138.7,1.5,22.5,1.3,,5,,5 mins,4.75
49,Wine Spritzer,dinner,4,,,0.5,40,,15.5,,,2,,2 mins,
50,Mango Bellini,Breakfast,1,,,3.5,86.5,,,,1.5,3,,3 mins,
51,Skinny Cuban Mojito,,1,,,5,102,,44.5,,0.5,5,,5 mins,3
